# time disp shear stiffness
5.0250250250e+00 2.3606024502e-03 3.2028033433e+05 5.0000000000e+07
5.0350350350e+00 3.2983215412e-03 3.6716628887e+05 5.0000000000e+07
5.0450450450e+00 4.2266814769e-03 4.1358428566e+05 5.0000000000e+07
5.0550550551e+00 5.1419520150e-03 4.5934781257e+05 5.0000000000e+07
5.0650650651e+00 6.0404403406e-03 4.9010110085e+05 2.5000000000e+06
5.0750750751e+00 6.9185059594e-03 4.9229626490e+05 2.5000000000e+06
5.0850850851e+00 7.7725754398e-03 4.9443143860e+05 2.5000000000e+06
5.0950950951e+00 8.5991569439e-03 4.9649789236e+05 2.5000000000e+06
5.1051051051e+00 9.3948544888e-03 4.9848713622e+05 2.5000000000e+06
5.1151151151e+00 1.0156381878e-02 5.0039095470e+05 2.5000000000e+06
5.1251251251e+00 1.0880576252e-02 5.0220144063e+05 2.5000000000e+06
5.1351351351e+00 1.1564411189e-02 5.0391102797e+05 2.5000000000e+06
5.1451451451e+00 1.2205009321e-02 5.0551252330e+05 2.5000000000e+06
5.1551551552e+00 1.2799654396e-02 5.0699913599e+05 2.5000000000e+06
5.1651651652e+00 1.3345802739e-02 5.0836450685e+05 2.5000000000e+06
5.1751751752e+00 1.3841094078e-02 5.0960273519e+05 2.5000000000e+06
5.1851851852e+00 1.4283361663e-02 5.1070840416e+05 2.5000000000e+06
5.1951951952e+00 1.4670641663e-02 5.1167660416e+05 2.5000000000e+06
5.2052052052e+00 1.5001181780e-02 5.1250295445e+05 2.5000000000e+06
5.2152152152e+00 1.5273449050e-02 5.1318362262e+05 2.5000000000e+06
5.2252252252e+00 1.5486136801e-02 5.1371534200e+05 2.5000000000e+06
5.2352352352e+00 1.5638170727e-02 5.1409542682e+05 2.5000000000e+06
5.2452452452e+00 1.5728714061e-02 5.1432178515e+05 2.5000000000e+06
5.2552552553e+00 1.5757171813e-02 5.1439292953e+05 2.5000000000e+06
5.2652652653e+00 1.5723194062e-02 5.1269404199e+05 5.0000000000e+07
5.2752752753e+00 1.5626678278e-02 5.0786825279e+05 5.0000000000e+07
5.2852852853e+00 1.5467770663e-02 4.9992287204e+05 5.0000000000e+07
5.2952952953e+00 1.5246866505e-02 4.8887766415e+05 5.0000000000e+07
5.3053053053e+00 1.4964609537e-02 4.7476481574e+05 5.0000000000e+07
5.3153153153e+00 1.4621890299e-02 4.5762885385e+05 5.0000000000e+07
5.3253253253e+00 1.4219843510e-02 4.3752651439e+05 5.0000000000e+07
5.3353353353e+00 1.3759844452e-02 4.1452656148e+05 5.0000000000e+07
5.3453453453e+00 1.3243504379e-02 3.8870955787e+05 5.0000000000e+07
5.3553553554e+00 1.2672664972e-02 3.6016758751e+05 5.0000000000e+07
5.3653653654e+00 1.2049391841e-02 3.2900393095e+05 5.0000000000e+07
5.3753753754e+00 1.1375967119e-02 2.9533269484e+05 5.0000000000e+07
5.3853853854e+00 1.0654881158e-02 2.5927839680e+05 5.0000000000e+07
5.3953953954e+00 9.8888233653e-03 2.2097550717e+05 5.0000000000e+07
5.4054054054e+00 9.0806722076e-03 1.8056794928e+05 5.0000000000e+07
5.4154154154e+00 8.2334844257e-03 1.3820856019e+05 5.0000000000e+07
5.4254254254e+00 7.3504834966e-03 9.4058513730e+04 5.0000000000e+07
5.4354354354e+00 6.4350473872e-03 4.8286708259e+04 5.0000000000e+07
5.4454454454e+00 5.4906956466e-03 1.0691212293e+03 5.0000000000e+07
5.4554554555e+00 4.5210758855e-03 -4.7411866825e+04 5.0000000000e+07
5.4654654655e+00 3.5299496951e-03 -9.6968176344e+04 5.0000000000e+07
5.4754754755e+00 2.5211780597e-03 -1.4740675812e+05 5.0000000000e+07
5.4854854855e+00 1.4987063193e-03 -1.9853034514e+05 5.0000000000e+07
5.4954954955e+00 4.6654874137e-04 -2.5013822403e+05 5.0000000000e+07
5.5055055055e+00 -5.7122723863e-04 -3.0202702303e+05 5.0000000000e+07
5.5155155155e+00 -1.6105170457e-03 -3.5399151338e+05 5.0000000000e+07
5.5255255255e+00 -2.6471951994e-03 -4.0582542107e+05 5.0000000000e+07
5.5355355355e+00 -3.6771316899e-03 -4.5732224559e+05 5.0000000000e+07
5.5455455455e+00 -4.6962084307e-03 -4.8674052108e+05 2.5000000000e+06
5.5555555556e+00 -5.7003357221e-03 -4.8925083931e+05 2.5000000000e+06
5.5655655656e+00 -6.6854686603e-03 -4.9171367165e+05 2.5000000000e+06
5.5755755756e+00 -7.6476234262e-03 -4.9411905857e+05 2.5000000000e+06
5.5855855856e+00 -8.5828933873e-03 -4.9645723347e+05 2.5000000000e+06
5.5955955956e+00 -9.4874649496e-03 -4.9871866237e+05 2.5000000000e+06
5.6056056056e+00 -1.0357633093e-02 -5.0089408273e+05 2.5000000000e+06
5.6156156156e+00 -1.1189816529e-02 -5.0297454132e+05 2.5000000000e+06
5.6256256256e+00 -1.1980572417e-02 -5.0495143104e+05 2.5000000000e+06
5.6356356356e+00 -1.2726610579e-02 -5.0681652645e+05 2.5000000000e+06
5.6456456456e+00 -1.3424807159e-02 -5.0856201790e+05 2.5000000000e+06
5.6556556557e+00 -1.4072217658e-02 -5.1018054415e+05 2.5000000000e+06
