time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.77,0.0159487974172516,0.00019702601361793227,1.3323598448129664e-05,7.76483136696123e-06,5.325310330335849e-06,0.00010193654909439599,611.4128706597744
0.78,-0.03554137818184116,0.0001873554396090543,1.2639527856632918e-05,7.454195494264831e-06,5.241025527017508e-06,9.615034364855936e-05,576.6956379847546
0.79,-0.11339415697398932,0.00018172379479639258,1.2222294912315877e-05,7.152911107618657e-06,5.105321065105803e-06,9.359389729024736e-05,561.3569598348826
0.8,-0.10001798295436598,0.00018496800453304542,1.2372395192339486e-05,6.8719685029430305e-06,4.914894830180925e-06,9.799467384137702e-05,587.751982292719
0.81,-0.02740262520454129,0.0001965403708546737,1.3065523777051095e-05,6.63135641131799e-06,4.6654222501668065e-06,0.00010883608207594448,652.7711276969542
0.8200000000000001,-0.047228021556598714,0.00021296967229020254,1.4099861044804445e-05,6.454618089682043e-06,4.354179237614522e-06,0.0001232985021506389,739.4954788449218
0.8300000000000001,-0.12133928949147404,0.00023529059652089074,1.5547788943566237e-05,6.365977089925208e-06,3.981591200436357e-06,0.00014206731047875065,852.0219014329116
0.84,-0.11872256227847942,0.0002676453490585915,1.7671959140892263e-05,6.393630718272054e-06,3.5503268134641057e-06,0.00016822804903712918,1008.8174604001858
0.85,0.025284452082056597,0.0003081656282937759,2.0368573212488884e-05,6.56932150245971e-06,3.0658279806086357e-06,0.00020015222658976986,1200.070921793354
0.86,-0.007306556870376103,0.000350425251585568,2.3251843420632907e-05,6.919640896564064e-06,2.5398653636201563e-06,0.00023266439273462633,1394.742773847554
0.87,-0.06869634081159458,0.0003940268710040779,2.629740271816548e-05,7.460884741752084e-06,1.992296772368794e-06,0.000265324767767847,1590.1811759093803
0.88,-0.06056105862358717,0.00044269212628226113,2.9727435720476462e-05,8.202978446971315e-06,1.4489172830112915e-06,0.0003009265330606085,1803.0575999612483
0.89,-0.026932333255412843,0.0004967482845173175,3.3554286839906134e-05,9.152883618273143e-06,9.392995917674735e-07,0.00033962099233750915,2034.2086800908262
0.9,0.13413460213165196,0.0005503307873418013,3.740885498794854e-05,1.0310206481085098e-05,4.974534668443767e-07,0.0003767513335726404,2255.7920990466105
0.91,0.09982956867848954,0.0005954637531871999,4.078627988298165e-05,1.1658132907390313e-05,1.6389145726010392e-07,0.0004060738578957244,2430.6279353478644
0.92,0.024401185789829482,0.0006317874428330111,4.363794621890126e-05,1.3161489235543758e-05,-1.5591977955064715e-08,0.00042736560631764727,2557.4942451863135
0.93,0.04088217916237578,0.0006635735224058211,4.619261603679204e-05,1.4775165710911833e-05,4.53610301854061e-09,0.00044407317814322035,2656.9904217113217
0.9400000000000001,-0.00586917906760761,0.0006930880947648804,4.855720551469042e-05,1.6453016486952384e-05,2.6390033953939824e-07,0.0004581012543366245,2740.489303701214
0.9500000000000001,0.00517462454748201,0.0007219956919398941,5.0806975040128526e-05,1.8153680400381125e-05,7.921292074770762e-07,0.00047088566720714185,2816.5510473646405
0.96,-0.00041310821639994693,0.0007510457489829802,5.2969080925899446e-05,1.9844671869185834e-05,1.6059815304816237e-06,0.0004831347054109394,2889.39512326225
0.97,-0.09034142240698506,0.0007824589064169969,5.517001687664735e-05,2.1506061593931643e-05,2.707308947587349e-06,0.000496678711711598,2969.899900964469
0.98,-0.04394167992368004,0.0008196535686192696,5.762067573240153e-05,2.313494271115791e-05,4.081511968302748e-06,0.0005142398991365657,3074.2128196820995
0.99,0.15018080477126125,0.0008576293981150834,6.0029338469829445e-05,2.474206214103875e-05,5.699816553159593e-06,0.0005319330163245833,3179.2357040264524
1.0,0.14120385617983208,0.0008856696901496407,6.176075067982382e-05,2.633706174865101e-05,7.526381891017514e-06,0.0005414225905994683,3235.541455162772
1.01,0.09661115535029474,0.0009004133933249692,6.262460808594615e-05,2.7917645215087647e-05,9.523820422274649e-06,0.0005401755279210588,3228.0590790923156
1.02,-0.005578178176786855,0.0009067882120942987,6.292825015992757e-05,2.9472302707921173e-05,1.1653270398113883e-05,0.0005321944483368332,3180.1726015869626
1.03,-0.2035746835059167,0.0009158646036671987,6.335545513913641e-05,3.0992859917490056e-05,1.3870737464145478e-05,0.0005262760145924196,3144.66199912048
1.04,-0.14104444778589978,0.0009384027108272894,6.458208148639676e-05,3.248886858955989e-05,1.6123203598782424e-05,0.0005309037575982287,3172.13165090073
1.05,0.04585086194805441,0.000971412188564727,6.645316983407827e-05,3.3987891013420426e-05,1.8350826688512793e-05,0.0005437613934350856,3248.4152699829833
1.06,0.16818502839886026,0.0010008060188993423,6.813930979976073e-05,3.551645207413978e-05,2.0496800478554764e-05,0.0005538567944305033,3308.285083706389
1.07,0.16371787466594223,0.0010158212244282521,6.900536283312293e-05,3.707933791138159e-05,2.2517258172198163e-05,0.0005528541723281225,3302.2693510921044
1.08,0.04346171934723688,0.0010165683241811683,6.905864242880704e-05,3.865405479163413e-05,2.438427987931785e-05,0.0005410192066220358,3231.2595568555835
1.09,-0.07061816642553434,0.0010119678666877033,6.883055774829196e-05,4.020141412428208e-05,2.608179310775871e-05,0.0005255583127585054,3138.4941936744003
1.1,0.01082122685603452,0.0010086346012364023,6.871112814485374e-05,4.1679408934762116e-05,2.7599804318988953e-05,0.0005118693722014249,3056.3605503319186
1.11,0.07347561766731321,0.0010037288092024645,6.851251110778283e-05,4.3046320474424736e-05,2.8932687695647813e-05,0.0004979593398021852,2972.90035593648
1.12,-0.09375643115724568,0.000996222203963895,6.815559747511046e-05,4.425920182169328e-05,3.0079132601357457e-05,0.0004832440491305147,2884.6086119064576
1.1300000000000001,-0.14208543666011716,0.0009940785336498225,6.811280023235797e-05,4.5282459922909894e-05,3.1038159032877386e-05,0.0004741182245724996,2829.8536645583663
1.1400000000000001,-0.13137086220076952,0.0010035789018889678,6.876269842343561e-05,4.610006349291e-05,3.180409004088248e-05,0.0004755782348429466,2838.538056333799
1.1500000000000001,-0.08864668557818059,0.001024278819361851,7.008176079601712e-05,4.671809108574698e-05,3.2365854875042635e-05,0.0004872822750373467,2908.1330611012345
1.16,0.15355887440690924,0.0010476862121535705,7.156173429060333e-05,4.7154974910844046e-05,3.2711457206789375e-05,0.0005025448130839182,2998.8363063705488
1.17,0.08152189890132108,0.0010624208566300968,7.251884904202927e-05,4.7424778094934186e-05,3.283505138786834e-05,0.0005124176139407024,3057.486784770902
1.18,-0.07698929599888807,0.0010700114245497697,7.304965596328769e-05,4.753140163188642e-05,3.2739320465853906e-05,0.0005180580635300689,3090.9871435694313
1.19,0.001139727871317467,0.001078252373650596,7.362738473222697e-05,4.7477988066310654e-05,3.24316323796747e-05,0.0005255191550090316,3135.2880782484344
1.2,-0.009098922043707078,0.0010874788721491099,7.427052775188458e-05,4.7272359785043274e-05,3.1921704946525214e-05,0.0005350063392086788,3191.597916404213
1.21,0.034022659952868635,0.0010952057039816817,7.482693101232929e-05,4.692384747853161e-05,3.1222592389152916e-05,0.0005445015688136319,3247.9338709150525
1.22,0.05071219817918765,0.0010991630988470428,7.515632218070105e-05,4.643963088315128e-05,3.0351710254857692e-05,0.0005521515108996867,3293.3074547018878
1.23,0.07966998490027231,0.00109677499998997,7.509646501500319e-05,4.582178768198962e-05,2.933135327597917e-05,0.0005558764184872708,3315.3977511434578
1.24,0.11367330759851153,0.0010853985421894678,7.447583993588162e-05,4.506458950180554e-05,2.818883200990613e-05,0.0005535732009781319,3301.578446088623
1.25,0.059401319172863454,0.0010640471771870697,7.321751065726722e-05,4.415378639325637e-05,2.6955543329567964e-05,0.0005444705518187401,3246.962551132274
1.26,-0.05664898326394198,0.0010375644608314096,7.159878107160398e-05,4.307231925995499e-05,2.5663390620618057e-05,0.0005323602934035723,3174.301000641266
1.27,-0.14864126180653395,0.0010154721153697445,7.018936009226138e-05,4.181341287877701e-05,2.433854800252695e-05,0.0005246433598649092,3127.9993994092874
1.28,0.0010668760040687133,0.0010015728654773964,6.922105622170589e-05,4.0390006708474804e-05,2.299724387817574e-05,0.0005241829609673132,3125.2370060237113
1.29,0.12099047516758171,0.0009877269449725006,6.820431418114296e-05,3.88281614119991e-05,2.1648364888858244e-05,0.0005244759192372995,3126.9714434953853
1.3,0.12198510421339265,0.0009642293439827329,6.655356946438106e-05,3.715134221004706e-05,2.0299772654266583e-05,0.0005178124803994319,3086.990810468179
1.31,0.09181353289403026,0.0009288557880912129,6.413491381228368e-05,3.537225940551556e-05,1.8961469538609223e-05,0.0005023686741681424,2994.3279730804425
