time_s,u_iso_1_m,f_iso_1_N,u_iso_2_m,f_iso_2_N,u_iso_3_m,f_iso_3_N
0.76,0.00010301828527166233,205.97278191748535,0.00011135930885494573,222.63977105496843,0.00010301828527166231,205.97278191748535
0.77,9.927389758995535e-05,198.48400655407139,0.00010726185210327762,214.44485755163223,9.927389758995504e-05,198.4840065540708
0.78,9.36203437316707e-05,187.1768988375021,0.00010121034348233745,202.34184030975186,9.362034373166997e-05,187.17689883750066
0.79,9.115745175341752e-05,182.25111488099574,9.846678836390732e-05,196.8547300728916,9.115745175341725e-05,182.2511148809952
0.8,9.557121706119054e-05,191.07558383461173,0.0001028415874017498,205.60081462349527,9.557121706119071e-05,191.07558383461208
0.81,0.00010634503942113004,212.61397538188055,0.00011381816738557334,227.54317693319308,0.00010634503942113008,212.6139753818806
0.8200000000000001,0.00012068226928899096,241.2725782516432,0.00012853096787393477,256.9503223416353,0.00012068226928899099,241.27257825164327
0.8300000000000001,0.0001392551158148734,278.39092348913044,0.00014769169980650512,295.2400544546507,0.00013925511581487342,278.3909234891305
0.84,0.00016511032121846347,330.04782473336394,0.00017446350467446064,348.72181093345796,0.00016511032121846347,330.04782473336394
0.85,0.00019662853595272254,392.99177346787826,0.0002071996078638645,414.0873748575975,0.00019662853595272254,392.99177346787826
0.86,0.00022868177898440536,456.9710956494802,0.00024062962023506837,480.8005825485934,0.00022868177898440536,456.9710956494802
0.87,0.00026083198989417444,521.1056580945195,0.00027431032351519217,547.969859720341,0.0002608319898941745,521.1056580945196
0.88,0.0002958426932714929,590.894837339893,0.0003110942126388397,621.2679252814625,0.00029584269327149294,590.8948373398931
0.89,0.00033386379390820247,666.6160766089162,0.0003511353891961226,700.9765268729936,0.0003338637939082025,666.6160766089163
0.9,0.0003702888548189025,739.0882310445476,0.0003896762910801164,777.6156369575153,0.0003702888548189025,739.0882310445476
0.91,0.00039894552330814215,796.0566134890643,0.00042033052707088917,838.5147083697359,0.00039894552330814204,796.056613489064
0.92,0.0004196250629150951,837.1404119388869,0.00044284669312275195,883.2134213085398,0.000419625062915095,837.1404119388867
0.93,0.00043575293394026505,869.1647282363294,0.0004607136665491311,918.660965238663,0.00043575293394026494,869.1647282363292
0.9400000000000001,0.0004492284683882196,895.910350628666,0.00047584682623343436,948.6686024438819,0.00044922846838821957,895.910350628666
0.9500000000000001,0.00046148511680274475,920.2265057601911,0.000489686768015936,976.098035844258,0.0004614851168027448,920.2265057601912
0.96,0.00047323319656746997,943.5240174563819,0.0005029377230978782,1002.3470883494858,0.00047323319656747,943.524017456382
0.97,0.0004862893212243005,969.4032286043579,0.0005174574926861932,1031.0934437557532,0.0004862893212243005,969.4032286043579
0.98,0.0005033473393114038,1003.1932091037745,0.0005360250187868893,1067.8264014745503,0.0005033473393114039,1003.1932091037747
0.99,0.0005205574765406731,1037.2618058293897,0.0005546840958924038,1104.7120923676723,0.0005205574765406732,1037.26180582939
1.0,0.0005296656168943167,1055.2854458887684,0.0005649365380097712,1124.970563385235,0.0005296656168943168,1055.2854458887687
1.01,0.0005281633877376686,1052.2809875754722,0.0005641998082878393,1123.497103941371,0.0005281633877376687,1052.2809875754724
1.02,0.0005200124361056653,1035.9790843114656,0.000556558472799169,1108.2144329640307,0.0005200124361056654,1035.9790843114658
1.03,0.0005139173633277497,1023.7889387556345,0.0005509933171217594,1097.0841216092113,0.0005139173633277495,1023.7889387556341
1.04,0.0005182678282209762,1032.4018034668895,0.000556175616352734,1107.3280439669516,0.0005182678282209758,1032.4018034668889
1.05,0.0005307603127355052,1057.121640529624,0.0005697635548342467,1134.171988923735,0.0005307603127355052,1057.121640529624
1.06,0.0005405059767518314,1076.3985238874961,0.0005805584297878471,1155.4880359313963,0.0005405059767518315,1076.3985238874964
1.07,0.0005392516287612512,1073.889827906336,0.0005800592594618651,1154.4896952794325,0.0005392516287612512,1073.889827906336
1.08,0.0005272641506443508,1049.9148716725351,0.0005685293185774054,1131.4298135105128,0.0005272641506443513,1049.914871672536
1.09,0.0005116839721678627,1018.7545147195588,0.0005533069939397916,1100.9851642352853,0.0005116839721678616,1018.7545147195566
1.1,0.0004978631397487858,991.1128498814049,0.0005398818371067051,1074.1348505691121,0.0004978631397487839,991.1128498814012
1.11,0.00048383933693060995,963.0652442450532,0.0005261993455453366,1046.7698674463752,0.00048383933693060897,963.0652442450514
1.12,0.0004690451908234804,933.4769520307943,0.0005116417657445841,1017.6547078448704,0.00046904519082347954,933.4769520307925
1.1300000000000001,0.0004598183529455539,915.0232762749412,0.0005027179678263906,999.8071120084833,0.00045981835294555415,915.0232762749417
1.1400000000000001,0.0004611071268401596,917.5802183576006,0.0005045204508485202,1003.3776196185969,0.00046110712684016005,917.5802183576014
1.1500000000000001,0.0004725707147075792,940.3149138612216,0.0005167053956968814,1027.503233378791,0.00047257071470757937,940.314913861222
1.16,0.0004875871922282565,970.079522229359,0.0005324600547952414,1058.6772619118306,0.00048758719222825663,970.0795222293592
1.17,0.0004972971303595893,989.3189310335868,0.0005426585811029284,1078.8489227037285,0.0004972971303595893,989.3189310335868
1.18,0.000502845434266206,1000.3101153972755,0.0005484833220577946,1090.3669127748806,0.000502845434266206,1000.3101153972755
1.19,0.0005102221854704099,1014.9193289187328,0.0005561130940862748,1105.449420410968,0.00051022218547041,1014.9193289187331
1.2,0.000519629197910399,1033.542540264853,0.0005657606218052384,1124.512835874507,0.000519629197910399,1033.542540264853
1.21,0.0005290677752058543,1052.221260305942,0.0005753691560291875,1143.4913503031685,0.0005290677752058543,1052.221260305942
1.22,0.0005367031568739578,1067.3268583472739,0.0005830482189511444,1158.6537380073403,0.0005367031568739578,1067.3268583472739
1.23,0.0005404781341264864,1074.7940079082334,0.0005866729872088397,1165.8097353269904,0.0005404781341264864,1074.7940079082334
1.24,0.0005383145094791506,1070.4667586135618,0.0005840905839760945,1160.6449288615,0.0005383145094791505,1070.4667586135615
1.25,0.0005294544690552283,1052.746677765717,0.0005745027173457667,1141.4691956008444,0.0005294544690552257,1052.746677765712
1.26,0.0005176571029414889,1029.1519455382384,0.0005617666743277418,1115.9971095647943,0.0005176571029414863,1029.1519455382331
1.27,0.0005102503968625052,1014.3385333802709,0.0005534292858697176,1099.3223326487462,0.000510250396862505,1014.3385333802704
1.28,0.000510065810498851,1013.9693606529625,0.000552417261904238,1097.298284717787,0.0005100658104988506,1013.9693606529619
1.29,0.000510661496133371,1015.1490758478806,0.0005521047654451569,1096.6732917996246,0.0005106614961333706,1015.1490758478799
1.3,0.0005044016933218214,1002.6294702247815,0.0005446340545546531,1081.7318700186172,0.0005044016933218211,1002.6294702247808
1.31,0.0004894784708703868,972.7830253219123,0.0005281490807636529,1048.7619224366167,0.0004894784708703874,972.7830253219134
1.32,0.0004693280256125684,932.4821348062754,0.0005061951996812925,1004.8541602718959,0.00046932802561257025,932.4821348062792
1.33,0.0004510503873547511,895.9268582906409,0.0004861005494996785,964.664859908668,0.00045105038735475085,895.9268582906403
1.34,0.00043872103499353004,871.2681535681987,0.000472086001278745,936.6357634668009,0.00043872103499352456,871.2681535681877
1.35,0.00042921278063012033,852.2516448413792,0.00046095383262651,914.371426162331,0.0004292127806301142,852.251644841367
1.36,0.00041831037744915296,830.4468384794445,0.0004483848784808641,889.2335178710391,0.00041831037744915084,830.4468384794403
1.37,0.00040473065042150535,803.2873844241493,0.000433078957115588,858.6216751404869,0.0004047306504215043,803.2873844241473
1.3800000000000001,0.00038824196750318873,770.3100185875161,0.00041481386857790886,822.0914980651286,0.00038824196750318656,770.3100185875116
1.3900000000000001,0.00036648470339603953,726.7954903732177,0.00039116369496868057,774.791150846672,0.000366484703396036,726.7954903732107
1.4000000000000001,0.0003372384836496826,668.3030508805039,0.0003598334272044656,712.1306153182421,0.00033723848364967945,668.3030508804975
1.41,0.00030529941099187544,604.4249055648895,0.0003257554651683073,643.9746912459256,0.0003052994109918705,604.4249055648796
1.42,0.00028127597424086864,556.3780320628758,0.0002998626226566491,592.189006222609,0.00028127597424086625,556.3780320628712
1.43,0.00027187032074402055,537.5667250691797,0.00028907871884312057,570.6211985955521,0.0002718703207440217,537.566725069182
1.44,0.00027321936143481285,540.2573341080592,0.00028944937792633866,571.360220904782,0.0002732193614348122,540.257334108058
1.45,0.0002767197525005649,547.2382230318104,0.0002921356763664781,576.7158653323139,0.00027671975250056477,547.2382230318103
1.46,0.0002782527953852981,550.295498641687,0.0002929161692014279,578.2718989090918,0.00027825279538529804,550.2954986416869
1.47,0.0002762796405503817,546.3491889718542,0.0002902179678842245,572.8754962746849,0.0002762796405503814,546.3491889718536
1.48,0.0002680181136590946,529.82613518928,0.0002811707338588978,554.7810282240316,0.0002680181136590946,529.82613518928
1.49,0.00025170814058089627,497.20618903288334,0.00026394070556609193,520.3209716384198,0.00025170814058089513,497.20618903288107
1.5,0.00022481504795060395,443.4200037722987,0.00023587744688144497,464.1944542691259,0.00022481504795060048,443.42000377229175
1.51,0.00018354043802572745,360.8707839225457,0.00019300778819516924,378.45513689657446,0.00018354043802572037,360.8707839225316
1.52,0.00013133935571196448,256.4686192950198,0.0001388248494876049,270.0892594814457,0.0001313393557119654,256.4686192950216
1.53,7.916806446674586e-05,152.12603680458255,8.45616782876933e-05,161.56291708162257,7.916806446675325e-05,152.1260368045973
1.54,3.4932625750264705e-05,63.655159371620215,3.832821307531077e-05,69.0959866568575,3.4932625750259196e-05,63.655159371609194
1.55,1.484795201022381e-06,-3.2404936394331543,3.0525517221544054e-06,-1.4553337474967503,1.4847952010142363e-06,-3.240493639449445
1.56,-2.0584036912096326e-05,-47.37720365879043,-2.0637453735735866e-05,-48.834253685935835,-2.058403691209772e-05,-47.37720365879321
1.57,-3.608350998509586e-05,-78.37432577753236,-3.766075322089544e-05,-82.8786095971198,-3.6083509985096105e-05,-78.37432577753283
1.58,-5.185308868186457e-05,-109.90984214869535,-5.502072159787732e-05,-117.5939543324403,-5.1853088681864627e-05,-109.90984214869546
1.59,-6.622007181632098e-05,-138.63853698574957,-7.094067683001645e-05,-149.42707495762616,-6.6220071816321e-05,-138.63853698574962
1.6,-7.27090865746751e-05,-151.61372023653632,-7.868564001993485e-05,-164.91297999790714,-7.27090865746751e-05,-151.61372023653632
1.61,-7.350469311895147e-05,-153.20457700355743,-8.044826780609682e-05,-168.43728094069428,-7.350469311895145e-05,-153.2045770035574
1.62,-7.849713389618654e-05,-163.186922435056,-8.638082925167386e-05,-180.29872347362112,-7.849713389618654e-05,-163.186922435056
1.6300000000000001,-9.600888320208664e-05,-198.19730802432667,-0.00010504884283794022,-217.61789213383935,-9.600888320208664e-05,-198.19730802432667
1.6400000000000001,-0.00012967846400878538,-265.49126870125275,-0.00014022511613899011,-287.91488463867796,-0.00012967846400878535,-265.4912687012527
1.6500000000000001,-0.0001773805699037197,-360.77730387152343,-0.00018977243395234915,-386.86834289067156,-0.00017738056990371966,-360.7773038715234
1.6600000000000001,-0.00023201952101200535,-469.82575375818544,-0.00024644804421345963,-499.9500082008001,-0.00023201952101200532,-469.82575375818533
1.67,-0.00028467930946168656,-574.8144115837116,-0.0003011334178001543,-608.9350397957933,-0.00028467930946168656,-574.8144115837116
1.68,-0.00032992445168489163,-664.9243149871353,-0.00034828555325521583,-702.7963972588739,-0.0003299244516848917,-664.9243149871354
1.69,-0.00037124377141355667,-747.1244476400103,-0.00039154815623847786,-788.8097542370069,-0.0003712437714135566,-747.1244476400102
1.7,-0.0004149444717702005,-833.9480949329654,-0.00043746149156439926,-879.9605279256552,-0.0004149444717702005,-833.9480949329654
1.71,-0.00045897861204945677,-921.3059524726586,-0.0004839396903333414,-972.0820794336056,-0.0004589786120494568,-921.3059524726588
1.72,-0.0004962533604319557,-995.1538802241538,-0.0005236746522671222,-1050.718234758187,-0.0004962533604319558,-995.153880224154
