time_s,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
0.33,2.5797941885962955e-05,51.598450685774544,2.579929289325171e-05,2.5433008330349592e-05,50.869120626789275,2.5434641996712798e-05,2.5797941885962955e-05,51.59845068577455,2.5799292893251714e-05
0.34,3.4073950340641336e-05,68.14973729037249,3.407491697700439e-05,3.413888518289159e-05,68.28010315140888,3.4140112964799856e-05,3.4073950340641336e-05,68.14973729037249,3.407491697700439e-05
0.35000000000000003,3.933760391925929e-05,78.67642539031154,3.9338244735992426e-05,3.9790808831557026e-05,79.58327031487428,3.979167864827294e-05,3.93376039192593e-05,78.67642539031155,3.933824473599243e-05
0.36,4.212003451585196e-05,84.24091141659899,4.212047787632305e-05,4.292861847707438e-05,85.85845011800188,4.29292569843655e-05,4.212003451585196e-05,84.24091141659899,4.212047787632305e-05
0.37,4.241121367136207e-05,84.82322992204192,4.2411636081529324e-05,4.3529020774490705e-05,87.05916825077719,4.3529613775435854e-05,4.241121367136206e-05,84.8232299220419,4.241163608152932e-05
0.38,3.9138798150964195e-05,78.27839888124618,3.913922056113145e-05,4.046825033626422e-05,80.93762737432422,4.046884333720937e-05,3.913879815096419e-05,78.27839888124616,3.9139220561131444e-05
0.39,3.2260273444695326e-05,64.52134946870844,3.226069585486258e-05,3.3680298634725865e-05,67.36172397124751,3.3680891635671014e-05,3.226027344469532e-05,64.52134946870842,3.2260695854862575e-05
0.4,2.6473492953740713e-05,52.94778848679921,2.647391536390797e-05,2.7989506961213354e-05,55.98014062422249,2.7990099962158503e-05,2.6473492953740713e-05,52.94778848679921,2.647391536390797e-05
0.41000000000000003,2.772491645822556e-05,55.45056238684013,2.772530039000925e-05,2.9519509165460855e-05,59.04004370230933,2.952004883461224e-05,2.772491645822556e-05,55.45056238684013,2.772530039000925e-05
0.42,3.594540602683283e-05,71.8907342944647,3.594536510093759e-05,3.820527439654408e-05,76.41061062599202,3.8205306940177686e-05,3.594540602683283e-05,71.8907342944647,3.594536510093759e-05
0.43,4.589462097468063e-05,91.78757158051201,4.589374183318103e-05,4.865702868674679e-05,97.31223869112313,4.8656071485499184e-05,4.589462097468062e-05,91.787571580512,4.589374183318102e-05
0.44,5.208499789738564e-05,104.1670491924677,5.208344705406796e-05,5.522805152729644e-05,110.45276123739254,5.5226292676138366e-05,5.208499789738564e-05,104.1670491924677,5.208344705406796e-05
0.45,5.231666628352151e-05,104.63033777724777,5.231509007836612e-05,5.565407641399878e-05,111.30471073081519,5.56522647839028e-05,5.231666628352152e-05,104.63033777724779,5.231509007836612e-05
0.46,4.947046193065534e-05,98.93792907151543,4.9468885725499944e-05,5.2904071981986934e-05,105.8047018667915,5.2902260351890955e-05,4.947046193065535e-05,98.93792907151544,4.946888572549995e-05
0.47000000000000003,4.753188586045134e-05,95.06077693110743,4.7530309655295946e-05,5.108602794145441e-05,102.16861378572646,5.1084216311358434e-05,4.753188586045135e-05,95.06077693110745,4.753030965529595e-05
0.48,4.8328031211771397e-05,96.65292632322696,4.83263806326578e-05,5.2085849454290295e-05,104.16805068028373,5.208392933413406e-05,4.8328031211771397e-05,96.65292632322696,4.83263806326578e-05
0.49,5.145784367438806e-05,102.91192144996683,5.145586162238317e-05,5.549531431577172e-05,110.98618245299636,5.549297422179957e-05,5.145784367438807e-05,102.91192144996684,5.145586162238318e-05
0.5,5.5284270367937404e-05,110.56388610333444,5.528182056133721e-05,5.9632514760555675e-05,119.25946533756189,5.9629586242898066e-05,5.528427036793741e-05,110.56388610333445,5.5281820561337216e-05
0.51,5.8848834581224235e-05,117.69207642302732,5.8845891034160467e-05,6.351371261644971e-05,127.02067127182704,6.351015790009582e-05,5.884883458122424e-05,117.69207642302732,5.8845891034160467e-05
0.52,6.162581676174543e-05,123.2452393558561,6.162245141035872e-05,6.659854182421768e-05,133.18928995716593,6.659443988144429e-05,6.162581676174544e-05,123.24523935585613,6.162245141035873e-05
0.53,6.485205663635779e-05,129.69668799410468,6.484814859498363e-05,7.016219794669206e-05,140.315269121895,7.015739438275041e-05,6.48520566363578e-05,129.6966879941047,6.484814859498365e-05
