time_s,roof_displacement_m,story_1_drift_ratio,story_2_drift_ratio,story_3_drift_ratio,isolation_displacement_m,total_base_shear_N,iso1_disp_m,iso1_force_N,iso1_z_m,iso2_disp_m,iso2_force_N,iso2_z_m,iso3_disp_m,iso3_force_N,iso3_z_m
16.718828201293945,-0.010865580290555954,-0.0004784285987692849,-0.00011331531115704113,2.8901009096039666e-05,-0.008839345847566923,-28938.743165640182,-0.008744395337998867,-9575.438215265489,-0.004579472990245054,-0.009029246866703033,-9787.866735109206,-0.004676285288652054,-0.008744395337998867,-9575.438215265489,-0.004579472990245054
16.72882843017578,-0.011066773906350136,-0.00048140279465803406,-0.00011515312103761567,2.5363794217507042e-05,-0.009010482269028822,-29126.822081461374,-0.00891440361738205,-9641.428983735232,-0.004605257169472119,-0.009202639572322369,-9843.964113990913,-0.004696684293030882,-0.00891440361738205,-9641.428983735232,-0.004605257169472119
16.738828659057617,-0.011279655620455742,-0.0004860182741173993,-0.00011959941022925907,2.012510473529498e-05,-0.009171882333854834,-29296.839498529556,-0.009074097499251366,-9700.853107532057,-0.004628128082951011,-0.009367452003061771,-9895.133283465442,-0.004714941096399613,-0.009074097499251366,-9700.853107532057,-0.004628128082951011
16.748828887939453,-0.011505153961479664,-0.0004922844366066986,-0.00012661925413542322,1.3282212118307749e-05,-0.009324916638433933,-29451.749436692604,-0.009224826470017433,-9754.768770967125,-0.004648571644192306,-0.009525096975266933,-9942.211894758353,-0.004731422209069295,-0.009224826470017433,-9754.768770967125,-0.004648571644192306
16.758827209472656,-0.011745437048375607,-0.0005002368103574822,-0.00013611124207576117,4.9153135882483585e-06,-0.009472279188533625,-29595.36354329302,-0.009369277395308018,-9804.537431586225,-0.0046671629958186436,-0.009678282774984837,-9986.288680120573,-0.004746558106643205,-0.009369277395308018,-9804.537431586225,-0.0046671629958186436
16.768827438354492,-0.012002920731902122,-0.0005098459897217926,-0.000147915238307582,-4.9103982746601105e-06,-0.009617302877207598,-29731.58600823697,-0.009510797448456287,-9851.556397719396,-0.004684461396249351,-0.009830313734710217,-10028.473212798179,-0.004760758862803767,-0.009510797448456287,-9851.556397719396,-0.004684461396249351
16.778827667236328,-0.012276964262127876,-0.0005208963907703204,-0.00016181962564587593,-1.613904411594073e-05,-0.009761086044212183,-29861.870022177216,-0.009650538675487041,-9896.366705091137,-0.004700690967127596,-0.009982180781662464,-10069.136611994943,-0.0047741676493835246,-0.009650538675487041,-9896.366705091137,-0.004700690967127596
16.788827896118164,-0.012561669573187828,-0.0005329767655995156,-0.00017756751428047815,-2.871991859541999e-05,-0.009900318458676338,-29983.764935934305,-0.009785293601453304,-9938.141715002514,-0.004715585449924833,-0.010130368173122406,-10107.481505929278,-0.00478654983611423,-0.009785293601453304,-9938.141715002514,-0.004715585449924833
16.798828125,-0.012847076170146465,-0.0005456154165720499,-0.00019486269189251793,-4.260205767220921e-05,-0.010027987572054068,-30092.088589898827,-0.009908182546496391,-9975.093263216013,-0.004728565793982302,-0.010267597623169422,-10141.902063466805,-0.004797443316394665,-0.009908182546496391,-9975.093263216013,-0.004728565793982302
16.808828353881836,-0.013121724128723145,-0.0005583897129529052,-0.00021337609117229778,-5.772854718897078e-05,-0.010135544463992119,-30180.95093584979,-0.0100107965990901,-10005.17800333115,-0.004738999128116915,-0.010385040193796158,-10170.594929187488,-0.004806363636740986,-0.0100107965990901,-10005.17800333115,-0.004738999128116915
