time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
0.42,-0.0109205410125031,5.30844790644338e-05,3.97865947765153e-06,1.2935572680116e-06,-7.20609095623807e-07,3.66986915242922e-05,220.192055370468
0.43,0.0439478777617023,6.96247503598029e-05,4.99377265107331e-06,1.6509273431171e-06,-3.08775642839143e-07,4.68154226949383e-05,280.887376658398
0.44,0.113835690954695,8.14054430087888e-05,5.70946570640026e-06,2.01063962693962e-06,1.33439459272016e-07,5.3132681755386e-05,318.786855419344
0.45,0.0330979425199487,8.55677410595578e-05,5.95585799601142e-06,2.37579040480067e-06,5.95742468002357e-07,5.34291339318257e-05,320.565371824169
0.46,-0.0228087876624484,8.57876083005499e-05,5.95797515299537e-06,2.74175923779847e-06,1.07043576303178e-06,5.06149957467777e-05,303.680542713881
0.47,-0.0352119011125783,8.71688838014551e-05,6.0278865344848e-06,3.10361710550453e-06,1.54968676955389e-06,4.87165983270995e-05,292.290158195812
0.48,-0.0489815138898541,9.20458933724763e-05,6.31101933896905e-06,3.46099702118707e-06,2.02388955216316e-06,4.95806320881268e-05,297.47387201199
0.49,0.010765099234905,9.9894062793851e-05,6.78053348340528e-06,3.81805198083069e-06,2.48208162546244e-06,5.28036612709368e-05,316.809989562559
0.5,-0.0113924691908694,0.000108598565074144,7.31297986481593e-06,4.18030771914065e-06,2.91362416877043e-06,5.67336827643272e-05,340.387223048046
0.51,0.0220345785280609,0.000116917962376271,7.83696403255587e-06,4.55164779852485e-06,3.30976881708513e-06,6.04037920428736e-05,362.404812727796
0.52,0.00449420109804714,0.000124158495741815,8.31241582464596e-06,4.93284905265734e-06,3.66448674513237e-06,6.32833899010465e-05,379.679757290365
0.53,-0.0576049378004941,0.000131901703920646,8.8364662589e-06,5.3225351600473e-06,3.97422140305289e-06,6.6622101761445e-05,399.708633150885
0.54,0.073464709472394,0.000140403549227003,9.42445529623188e-06,5.71865354496785e-06,4.23734696130286e-06,7.06339083379933e-05,423.774887817597
0.55,0.0180137930895054,0.000146045314054657,9.85294445822555e-06,6.11561497443024e-06,4.45519543651635e-06,7.25197965256373e-05,435.087938388321
0.56,-0.0315824471667477,0.000149564885457836,1.01614210917422e-05,6.50296010436724e-06,4.63230363730677e-06,7.28968200575378e-05,437.349609414522
0.57,-0.0345398075574453,0.000154902089891101,1.05845848582017e-05,6.8705163739605e-06,4.77404006808019e-06,7.48771812102279e-05,449.229225090625
0.58,-0.071024744599794,0.000164351459812439,1.1259292029618e-05,7.21352234747279e-06,4.88433756576275e-06,8.02657128181663e-05,481.552464263141
0.59,-0.0197752682381334,0.000178522056123652,1.22229818859811e-05,7.53424476161802e-06,4.96498006105128e-06,8.9522111972511e-05,537.073887637048
0.6,0.0224883842280501,0.000194701709268632,1.33125531882141e-05,7.83947051649452e-06,5.01664598565176e-06,0.000100494498383335,602.882865725261
